County,Year,Harvested,Production,Yield
Narok,2014,"10,173","82,402",8.1
Nyamira,2014,41,246,6
Nyandarua,2014,"22,270","293,410",13.2
Nyeri,2014,"7,294","27,765",3.8
Samburu,2014,560,"4,480",8
Taita Taveta,2014,37,282,7.6
Tharaka Nithi,2014,42,365,8.7
T/Nzoia,2014,87,870,10
Uasin Gishu,2014,"1,132","11,320",10
West Pokot,2014,"2,005","16,040",8
Baringo,2015,"1,366","7,792",5.7
Bomet,2015,"5,046","26,107",5.2
Bungoma,2015,541,"4,357",8.1
Elgeyo Marakwet,2015,"14,958","90,400",6
Embu,2015,332,"2,480",7.5
Kajiado,2015,626,"5,162",8.2
Kakamega,2015,19,111,5.8
Kericho,2015,484,"3,433",7.1
Kiambu,2015,"17,554","116,605",6.6
Kirinyaga,2015,"1,739","11,935",6.9
Kisii,2015,71,542,7.6
Laikipia,2015,"4,888","38,549",7.9
Machakos,2015,33,167,5.1
Makueni,2015,390,"1,900",4.9
Meru,2015,"16,120","129,047",8
Murang?a,2015,"7,002","48,032",6.9
Nairobi,2015,106,547,5.2
Nakuru,2015,"31,274","212,235",6.8
Nandi,2015,634,"4,436",7
Narok,2015,"13,733","61,783",4.5
Nyamira,2015,15,89,5.9
Nyandarua,2015,"36,023","271,045",7.5
Nyeri,2015,"16,510","93,927",5.7
Samburu,2015,720,"5,960",8.3
Taita Taveta,2015,33,195,5.9
Tharaka Nithi,2015,92,497,5.4
T/Nzoia,2015,"2,943","12,883",4.4
Uasin Gishu,2015,"1,198","8,914",7.4
West Pokot,2015,"2,132","18,132",8.5
Baringo,2016,"1,656","10,992",6.6
Bomet,2016,"2,720","15,175",5.6
Bungoma,2016,537,"4,598",8.6
Elgeyo Marakwet,2016,"15,850","130,891",8.3
Embu,2016,320,"2,710",8.5
Kajiado,2016,865,"5,558",6.4
Kakamega,2016,27,146,5.4
Kericho,2016,510,"2,955",5.8
Kiambu,2016,"19,670","149,219",7.6
Kirinyaga,2016,"1,268","8,160",6.4
Kisii,2016,52,390,7.5
Laikipia,2016,"6,252","48,104",7.7
Machakos,2016,18,96,5.3
Makueni,2016,300,630,2.1
Meru,2016,"15,447","80,608",5.2
Murang?a,2016,"7,045","26,963",3.8
Nairobi,2016,128,645,5
Nakuru,2016,"30,501","225,479",7.4
Nandi,2016,641,"4,297",6.7
Narok,2016,"13,152","76,222",5.8
Nyamira,2016,23,136,5.9
Nyandarua,2016,"34,155","248,290",7.3
Nyeri,2016,"15,087","77,533",5.1
Samburu,2016,400,"3,500",8.8
Taita Taveta,2016,22,110,5
Tharaka Nithi,2016,61,285,4.7
T/Nzoia,2016,"1,739","10,040",5.8
Uasin Gishu,2016,"1,429","9,571",6.7
West Pokot,2016,"1,289","6,634",5.1
